#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 01 00 00  58  2.8 99.0 99.00 99.00 99.00 999 1016.0  22.1  23.9  18.2 99.0 99.00
2012 01 01 01 00  42  2.8 99.0 99.00 99.00 99.00 999 1016.0  22.7  23.9  17.5 99.0 99.00
2012 01 01 02 00  31  4.2 99.0 99.00 99.00 99.00 999 1016.0  23.0  23.8  17.2 99.0 99.00
2012 01 01 03 00  55  3.3 99.0 99.00 99.00 99.00 999 1017.0  22.9  23.8  17.0 99.0 99.00
2012 01 01 04 00  52  3.9 99.0 99.00 99.00 99.00 999 1017.0  22.8  23.7  17.3 99.0 99.00
2012 01 01 05 00  58  3.9 99.0 99.00 99.00 99.00 999 1017.0  22.7  23.7  17.5 99.0 99.00
2012 01 01 06 00  65  3.7 99.0 99.00 99.00 99.00 999 1017.0  22.6  23.7  17.4 99.0 99.00
2012 01 01 07 00  61  3.8 99.0 99.00 99.00 99.00 999 1017.0  22.6  23.7  17.4 99.0 99.00
2012 01 01 08 00  56  4.5 99.0 99.00 99.00 99.00 999 1017.0  22.6  23.7  17.4 99.0 99.00
2012 01 01 09 00  60  4.7 99.0 99.00 99.00 99.00 999 1017.0  22.5  23.7  17.4 99.0 99.00
2012 01 01 10 00  65  4.7 99.0 99.00 99.00 99.00 999 1017.0  22.6  23.7  17.1 99.0 99.00
2012 01 01 11 00  76  4.4 99.0 99.00 99.00 99.00 999 1016.0  22.5  23.7  17.1 99.0 99.00
2012 01 01 12 00  78  4.1 99.0 99.00 99.00 99.00 999 1016.0  22.4  23.7  17.0 99.0 99.00
2012 01 01 13 00  73  4.2 99.0 99.00 99.00 99.00 999 1016.0  22.4  23.7  17.2 99.0 99.00
2012 01 01 14 00  76  4.2 99.0 99.00 99.00 99.00 999 1016.0  22.4  23.7  17.2 99.0 99.00
2012 01 01 15 00  73  4.3 99.0 99.00 99.00 99.00 999 1016.0  22.4  23.6  17.2 99.0 99.00
2012 01 01 16 00  85  4.3 99.0 99.00 99.00 99.00 999 1016.0  22.4  23.6  17.2 99.0 99.00
2012 01 01 17 00  95  4.4 99.0 99.00 99.00 99.00 999 1017.0  22.5  23.6  17.3 99.0 99.00
2012 01 01 18 00 104  4.7 99.0 99.00 99.00 99.00 999 1017.0  22.8  23.7  17.2 99.0 99.00
2012 01 01 19 00 114  4.4 99.0 99.00 99.00 99.00 999 1018.0  22.9  23.7  17.5 99.0 99.00
2012 01 01 20 00 118  4.5 99.0 99.00 99.00 99.00 999 1018.0  22.9  23.7  17.7 99.0 99.00
2012 01 01 21 00 120  4.5 99.0 99.00 99.00 99.00 999 1017.0  22.9  23.7  17.9 99.0 99.00
2012 01 01 22 00 124  4.3 99.0 99.00 99.00 99.00 999 1016.0  22.9  23.8  17.9 99.0 99.00
