HOE-DYLAN

botid, press, theta, sigma, temp, csal, coxy, cchl, boxy, dic, alk, phos, nit, sil, dop, don, doc, tdp, tdn, lln, llp, pc, pn, pp, psi, chl, phaeo, chlda, chlplus, perid, but19, fuco, hex19, prasino, viol, diadino, allox, lutein, zeaxan, chlb, acar, bcar, dvchla, mvchla, hplc, hbact, pbact, sbact, ebact, atp, ch4, n2o, 
#, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, ug/l, umol/kg, umol/kg, ueq/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, nmol/kg, nmol/kg, ug/l, ug/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, #*1e5/ml, #*1e5/ml, #*1e5/ml, #*1e5/ml, ng/kg, nmol/kg, nmol/kg, 
0500200112,   74.2,  23.341, 24.0799,  23.356,  35.321,   222.0, -0.4364,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200111,  100.8,  22.357, 24.3877,  22.377,  35.354,   216.0, -0.4361,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200110,  111.0,  22.198, 24.4304,  22.220,  35.351,   214.2, -0.4362,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200109,  114.2,  22.091, 24.4536,  22.114,  35.342,   212.9, -0.4363,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200108,  119.5,  21.947, 24.4810,  21.971,  35.325,   211.3, -0.4363,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200107,  123.6,  21.909, 24.4889,  21.933,  35.321,   210.8, -0.4359,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200106,  128.8,  21.638, 24.5407,  21.663,  35.290,   207.8, -0.4368,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200105,  134.2,  21.442, 24.5752,  21.468,  35.264,   205.3, -0.4364,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200104,  138.9,  21.150, 24.6256,  21.177,  35.225,   201.7, -0.4364,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200103,  143.8,  20.843, 24.6804,  20.870,  35.187,   198.7, -0.4362,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200102,  149.3,  20.570, 24.7281,  20.598,  35.153,   196.8, -0.4359,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200101,  175.0,  19.667, 24.8785,  19.699,  35.037,   193.5, -0.4352,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200209,   24.9,  24.667, 23.7336,  24.672,  35.383,   209.3, -0.4383,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200208,   25.4,  24.667, 23.7336,  24.672,  35.383,   209.3, -0.4384,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200207,   25.9,  24.667, 23.7334,  24.673,  35.383,   209.4, -0.4385,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200206,   25.7,  24.667, 23.7333,  24.673,  35.383,   209.4, -0.4384,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200205,   25.3,  24.667, 23.7336,  24.672,  35.383,   209.3, -0.4384,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
